id,original_file,clean_filename,title,category,portfolio_role,tags,source_notes
13,CURRICULUM AND MODEL DEVELOPMENT.md,academic-and-community-health-center-curriculum-model-development.md,Academic and Community Health Center Curriculum Model Development,"Medical Education, Curriculum, and Program Development",Evidence artifact,Academic-community partnership; FQHC rotations; interprofessional model design,
14,Committees.md,institutional-leadership-and-committee-memberships.md,Institutional Leadership and Committee Memberships,"Governance, Committees, and Professional Service",Evidence artifact,Institutional strategic planning; LCME; informatics; quality improvement; memberships,
15,Community and External Collaborations.md,community-service-and-external-strategic-collaborations.md,Community Service and External Strategic Collaborations,"Community, Rural Health, Policy, and External Consultation",Supporting case study,Healthcare workforce analytics; external collaboration; CMS financial consultation; program evaluation,
16,Cross-Institutional Consulting.md,cross-institutional-consulting-and-health-policy-analytics.md,Cross-Institutional Consulting and Health Policy Analytics,"Community, Rural Health, Policy, and External Consultation",Flagship case study,Executive consultation; policy analytics; workforce dynamics; external decision support,
17,DATA ANALYSIS AND RESEARCH PROJECTS.md,data-analysis-predictive-modeling-and-institutional-research-portfolio.md,"Data Analysis, Predictive Modeling, and Institutional Research Portfolio","Analytics, Dashboards, and Decision Intelligence",Flagship capability artifact,Predictive modeling; epidemiology; workforce analytics; educational outcomes; market analysis,
18,Data Driven Consultations for Legislative Bills.md,data-driven-consultations-for-louisiana-legislative-bills.md,Data-Driven Consultations for Louisiana Legislative Bills,"Legislative Policy, Government Relations, and Health System Strategy",Flagship case study,Legislative bill analysis; workforce needs; medical education funding; policy support,
19,Data Sources For my Analytics.md,lsu-health-school-of-medicine-analytics-data-sources.md,LSU Health School of Medicine Analytics Data Sources,"Analytics, Dashboards, and Decision Intelligence",RAG source and technical appendix,Organizational; faculty; GME; UME; admissions; finance; research data sources,
20,Executive Leadership in Strategic Planning.md,executive-leadership-in-strategic-planning.md,Executive Leadership in Strategic Planning,Executive Strategy and Institutional Leadership,Flagship positioning artifact,Strategic outcomes; executive planning; institutional alignment; leadership advising,
21,Explanation Artifact Thalamus Cortex.md,explanation-artifact-thalamus-cortex-ai-transcript-model-review.md,Explanation Artifact: Thalamus Cortex AI Transcript Model Review,"AI Governance, Digital Transformation, and Clinical AI Literacy",Supporting case study,Thalamus Cortex; MSPE; ERAS; student affairs; residency program review,
22,Explanation Artifact UpToDate Expert AI.md,explanation-artifact-uptodate-expert-ai-vs-openevidence-analysis.md,Explanation Artifact: UpToDate Expert AI vs OpenEvidence Analysis,"AI Governance, Digital Transformation, and Clinical AI Literacy",Supporting artifact,Clinical AI tools; evidence systems; comparative analysis,
23,Explanation Artifact for AI Policy.md,explanation-artifact-ai-policy-framework.md,Explanation Artifact: AI Policy Framework,"AI Governance, Digital Transformation, and Clinical AI Literacy",Supporting artifact,Explains AI policy framework value; purpose; audience; institutional significance,
24,Explanation Artifact for MedAI vercel.md,explanation-artifact-interactive-medai-lexicon.md,Explanation Artifact: Interactive MedAI Lexicon,"AI Governance, Digital Transformation, and Clinical AI Literacy",Supporting artifact,MedAI lexicon; AI education; faculty/student learning tool; website artifact,
25,Explanation Artifact- Med-AI teaching module.md,medai-teaching-guide-explanation-artifact.md,MedAI Teaching Guide Explanation Artifact,"AI Governance, Digital Transformation, and Clinical AI Literacy",Supporting artifact,Teaching module; educator-friendly AI curriculum; medical school concepts,
26,Explanation Artifact- Rural Hospital Closure.md,explanation-artifact-rural-hospital-closure-strategic-intelligence.md,Explanation Artifact: Rural Hospital Closure Strategic Intelligence,"Community, Rural Health, Policy, and External Consultation",Supporting artifact,Rural hospital closure; strategic intelligence; rural health risk,
27,Explanation Artifact-AI Fleuncy Studio.md,explanation-artifact-medai-fluency-studio.md,Explanation Artifact: MedAI Fluency Studio,"AI Governance, Digital Transformation, and Clinical AI Literacy",Supporting artifact,AI fluency; medical education; microlearning studio,Related source: Explanation Artifact-Micromodules.md
28,Explanation Artifact-ChatGPT.md,explanation-artifact-ai-triage-safety-brief.md,Explanation Artifact: AI Triage Safety Brief,"AI Governance, Digital Transformation, and Clinical AI Literacy",Supporting artifact,ChatGPT; AI triage; clinical safety; guardrails,
29,Explanation Artifact-Micromodules.md,explanation-artifact-medai-fluency-studio-duplicate-or-companion.md,MedAI Fluency Studio: Microlearning Companion,"AI Governance, Digital Transformation, and Clinical AI Literacy",Companion evidence artifact,Companion source preserved as part of full evidence record,Related source: Explanation Artifact-AI Fleuncy Studio.md
30,Explanation Artifact-NIH Explorer.md,explanation-artifact-nih-funding-intelligence-explorer.md,Explanation Artifact: NIH Funding Intelligence Explorer,"Research Strategy, Grants, and Scholarly Productivity",Supporting artifact,NIH funding intelligence; research strategy; portfolio exploration,
31,Explanation Artifact-OpenEvidence.md,explanation-artifact-openevidence-clinical-briefing.md,Explanation Artifact: OpenEvidence Clinical Briefing,"AI Governance, Digital Transformation, and Clinical AI Literacy",Supporting artifact,OpenEvidence; clinical briefing; AI tool evaluation,
32,Explanation Artifact-Rural Bill Tracker.md,explanation-artifact-rural-health-bill-tracker.md,Explanation Artifact: Rural Health Bill Tracker,"Legislative Policy, Government Relations, and Health System Strategy",Supporting artifact,Rural bill tracking; legislative intelligence; rural health policy,
33,Explanation Artifact-Rural Health News.md,explanation-artifact-rural-health-signal-monitor-daily-digest.md,Explanation Artifact: Rural Health Signal Monitor Daily Digest,"Community, Rural Health, Policy, and External Consultation",Supporting artifact,Daily rural health signal monitoring; news intelligence,
34,Explanation Artifact-Rural Health Signal Monitor.md,explanation-artifact-rural-health-signal-monitor.md,Explanation Artifact: Rural Health Signal Monitor,"Community, Rural Health, Policy, and External Consultation",Supporting artifact,Rural health surveillance; signal monitoring; policy intelligence,
35,Explanation Artifact-Vetting AI tools.md,explanation-artifact-ai-tool-vetting-framework.md,Explanation Artifact: AI Tool Vetting Framework,"AI Governance, Digital Transformation, and Clinical AI Literacy",Supporting artifact,AI tool vetting; governance; evaluation criteria,
36,Explanation Artifact-Women and Childrens.md,explanation-artifact-louisiana-women-and-children-health-analytics-dashboard.md,Explanation Artifact: Louisiana Women and Children Health Analytics Dashboard,Public Health Analytics and Data Visualization,Supporting artifact,Women and children health analytics; Louisiana dashboard; population health,
37,FDA for dossier.md,fda-rfi-response-on-ai-enabled-real-time-clinical-trials.md,FDA RFI Response on AI-Enabled Real-Time Clinical Trials,"AI Governance, Research Strategy, and Clinical Trials Innovation",Flagship case study,FDA RFI; AI-enabled real-time clinical trials; Gulf South consortium; NCI positioning,
38,Financial AND Resource Management PROJECTS.md,financial-and-resource-management-data-strategy-projects.md,Financial and Resource Management Data Strategy Projects,"Finance, Resource Management, and Enterprise Operations",Flagship capability artifact,Financial analytics; grant strategy; Medicaid; GME funding; resource allocation,
39,GME CONTRACTS NEGOTIATIONS.MD,gme-contracts-and-negotiations.md,GME Contracts and Negotiations,"GME, Workforce Finance, and Contract Strategy",Supporting case study,GME contracts; negotiation; clinical affiliates; financial strategy,
40,"GME Policy, Financing and Workforce Strategy Expertise Statement.md",comprehensive-gme-policy-financing-and-workforce-strategy-expertise-statement.md,"Comprehensive GME Policy, Financing, and Workforce Strategy Expertise Statement","GME, Workforce Finance, and Contract Strategy",Flagship case study,70+ residency and fellowship programs; CMS DGME; workforce math; health system politics,
41,GOVERNMENTAL ADN TECHNICAL REPORTS.md,governmental-and-technical-reports.md,Governmental and Technical Reports,"Legislative Policy, Government Relations, and Health System Strategy",Evidence artifact,Governmental reports; technical reports; policy documentation,
42,GRADUATE MEDICAL EDUCATION PROJECTS.md,graduate-medical-education-projects.md,Graduate Medical Education Projects,"GME, Workforce Finance, and Contract Strategy",Flagship capability artifact,GME analytics; ACGME; program development; workforce and finance,
43,GRANTS AND CONTRACTS.md,grants-and-contracts-structured-portfolio-version.md,Grants and Contracts: Structured Portfolio Version,"Research Strategy, Grants, and Scholarly Productivity",Evidence artifact,Grants; contracts; research roles; funding history,
44,HEALTHCARE WORKFORCE PROJECTS.md,healthcare-workforce-projects.md,Healthcare Workforce Projects,Healthcare Workforce Analytics and Planning,Flagship capability artifact,Workforce analytics; physician need; manpower planning; healthcare delivery,
45,HEALTHCARE WORKFORCE.md,healthcare-workforce-strategy-portfolio.md,Healthcare Workforce Strategy Portfolio,Healthcare Workforce Analytics and Planning,Flagship capability artifact,Healthcare workforce; projections; strategic planning; clinical training sites,
46,HR1.MD,h-r-1-rural-health-transformation-program-strategic-response.md,H.R. 1 Rural Health Transformation Program Strategic Response,"Legislative Policy, Government Relations, and Health System Strategy",Flagship case study,Section 71401; $50B rural health program; Louisiana opportunity; proactive policy monitoring,
47,IIT MADRAS INTERNATIONAL PARTNERSHI.MD,iit-madras-international-partnership-for-cancer-ai-and-genomics.md,IIT Madras International Partnership for Cancer AI and Genomics,"International Partnerships, Cancer Strategy, and Research Growth",Flagship case study,IIT Madras; UCSD genomics; AI/ML precision oncology; WhatsApp digital health; NCI positioning,
48,INTERDISCIPLINARY PROJECTS.md,interdisciplinary-projects.md,Interdisciplinary Projects,Executive Strategy and Institutional Leadership,Supporting capability artifact,Cross-disciplinary work; institutional initiatives; multi-domain collaboration,
49,INTERN HEALTH STUDY.MD,nih-funded-intern-health-study-gme-wellness-analytics.md,NIH-Funded Intern Health Study: GME Wellness Analytics,"GME, Workforce Finance, and Contract Strategy",Supporting case study,University of Michigan Intern Health Study; wellness data; resident depression risk; confidentiality,
50,JOURNAL PUBLICATIONS.md,journal-publications.md,Journal Publications,"Recognition, Publications, and Professional Service",Evidence artifact,Medical education; public health; simulation; peer-reviewed publications,
51,LEGISLATIVE BILLS.md,legislative-bills-portfolio.md,Legislative Bills Portfolio,"Legislative Policy, Government Relations, and Health System Strategy",Evidence artifact,Louisiana bills; medical education; workforce and funding policy,
52,LEGISLATIVE POLICY INITIATIVES.md,legislative-policy-initiatives.md,Legislative Policy Initiatives,"Legislative Policy, Government Relations, and Health System Strategy",Flagship capability artifact,Policy initiatives; state legislation; healthcare financing; strategic analysis,
53,LSU-LCMC NCI AI.md,lsu-lcmc-nci-ai-innovation-program-contribution.md,LSU-LCMC NCI AI Innovation Program Contribution,"AI Governance, Research Strategy, and Clinical Trials Innovation",Flagship case study,NCI cancer center application; AI innovation program; 21 pilots; LSU Health and LCMC,
54,Lake Charles.md,lake-charles-family-medicine-lppf-and-gme-financing-analysis.md,Lake Charles Family Medicine LPPF and GME Financing Analysis,"GME, Workforce Finance, and Contract Strategy",Flagship case study,LPPF; Medicaid financing; federal match; hospital dispute; GME training implications,
55,MCIP LQN.MD,mcip-educational-platform-for-louisiana-quality-network.md,MCIP Educational Platform for Louisiana Quality Network,"Simulation, Patient Safety, and Clinical Quality",Supporting case study,17-hospital network; CMS quality milestones; video modules; dashboards; cancer screening,
56,NIH CLustering.md,nih-research-portfolio-clustering-and-growth-strategy.md,NIH Research Portfolio Clustering and Growth Strategy,"Research Strategy, Grants, and Scholarly Productivity",Flagship case study,NIH clustering; K-means; Ansoff Matrix; LSUHSC vs Tulane benchmarking; research growth,
57,OFFICE OF RESEARCH.md,office-of-research-strategy-and-analytics.md,Office of Research Strategy and Analytics,"Research Strategy, Grants, and Scholarly Productivity",Supporting case study,Research office; data strategy; institutional research planning,
58,OLOL GME consultant.md,external-gme-finance-consultation-for-olol-and-reimbursement-solutions.md,External GME Finance Consultation for OLOL and Reimbursement Solutions,"GME, Workforce Finance, and Contract Strategy",Flagship case study,DGME caps; MOU and CEA documentation; Medicare cost reporting; external advisory,
59,ORAL PRESENTATIONS.md,oral-presentations.md,Oral Presentations,"Recognition, Publications, and Professional Service",Evidence artifact,Oral presentations; public health; simulation; academic-community partnerships,
60,Office Student Research.md,office-of-medical-student-research-strategic-support.md,Office of Medical Student Research Strategic Support,"Medical Education, Curriculum, and Program Development",Supporting artifact,Medical student research; slide deck support; program outcomes; honors research,
61,Office of Admissions.md,office-of-admissions-data-strategy-and-accreditation-compliance.md,Office of Admissions Data Strategy and Accreditation Compliance,"Admissions, Student Affairs, and Enterprise Systems",Supporting case study,Predictive analytics; admissions dashboards; LCME; admissions strategy,
62,Office of Community Engagement and Health Programs.md,office-of-community-engagement-and-health-programs-analytics.md,Office of Community Engagement and Health Programs Analytics,"Community, Rural Health, Policy, and External Consultation",Supporting case study,Diversity analytics; pipeline development; community engagement; dashboard reporting,
63,Office of Faculty Affairs-Faculty Development and Mentoring.md,faculty-development-and-mentoring-evaluation-infrastructure.md,Faculty Development and Mentoring Evaluation Infrastructure,"Faculty Affairs, Development, and Institutional Culture",Flagship case study,900+ faculty; 15 departments; $2M+ budget; logic model; CIPP; Kirkpatrick; 90+ data sources,
64,Office of Faculty and Institutional Affairs.md,faculty-and-institutional-affairs-data-strategy.md,Faculty and Institutional Affairs Data Strategy,"Faculty Affairs, Development, and Institutional Culture",Supporting case study,Faculty analytics; benchmarking; governance protocols; equity and climate survey analysis,
65,Office of Graduate Medical Education.md,office-of-graduate-medical-education-data-strategy.md,Office of Graduate Medical Education Data Strategy,"GME, Workforce Finance, and Contract Strategy",Supporting case study,GME analytics; ACGME compliance; workforce analysis; dashboards,
66,Office of Medical Education-Research Development.md,office-of-medical-education-research-and-development-role.md,Office of Medical Education Research and Development Role,"Medical Education, Curriculum, and Program Development",Evidence artifact,OMERAD; educational research; assessment design; faculty development; simulation,
67,Office of Medical Education.md,office-of-medical-education-data-strategy-and-policy.md,Office of Medical Education Data Strategy and Policy,"Medical Education, Curriculum, and Program Development",Supporting case study,Medical education analytics; dashboards; ACGME navigation; workforce analysis,
68,Office of Student Affairs.md,office-of-student-affairs-data-analytics-and-academic-support.md,Office of Student Affairs Data Analytics and Academic Support,"Admissions, Student Affairs, and Enterprise Systems",Supporting case study,Residency match; NBME; USMLE; educational records; advising strategy,
69,Office of Undergraduate Medical Education.md,office-of-undergraduate-medical-education-data-strategy.md,Office of Undergraduate Medical Education Data Strategy,"Medical Education, Curriculum, and Program Development",Supporting case study,UME analytics; statistical modeling; curriculum development; LCME compliance,
70,PATIENT CARE ADN CLINICAL PRACTICE INITIATIVES.md,patient-care-and-clinical-practice-initiatives.md,Patient Care and Clinical Practice Initiatives,"Simulation, Patient Safety, and Clinical Quality",Supporting capability artifact,Clinical analytics; spatial mapping; patient encounters; clinical competency,
71,POSTER PRESENTATIONS.md,poster-presentations.md,Poster Presentations,"Recognition, Publications, and Professional Service",Evidence artifact,Poster presentations; chronic disease; simulation; competency-based education,
72,PROGRAM DEVELOPMENT INITIATIVES.md,program-development-and-healthcare-initiatives.md,Program Development and Healthcare Initiatives,"Medical Education, Curriculum, and Program Development",Flagship capability artifact,GME; EQuIP; Medicare and Medicaid; clinical simulation; program design,
73,Public private Partnership.md,statewide-public-private-partnership-gme-transformation.md,Statewide Public-Private Partnership GME Transformation,"GME, Workforce Finance, and Contract Strategy",Flagship case study,Public-private hospital transition; CEAs; Medicare GME FTE caps; CMS and ACGME navigation,
74,RESOIRCES TECHNOLOGY AND INNOVATION INITITATIVES.md,resources-technology-and-innovation-initiatives.md,"Resources, Technology, and Innovation Initiatives","Technology, Resource Strategy, and Innovation",Supporting capability artifact,Educational platforms; space tabulation; technology support; compliance,
75,Research Associate-Office of Medical Education.md,research-associate-role-medical-education-data-strategy.md,Research Associate Role: Medical Education Data Strategy,"Medical Education, Curriculum, and Program Development",Evidence artifact,Predictive modeling; dashboards; workforce analysis; program accreditation,
76,Resident Report Cards.md,resident-and-fellow-quality-and-patient-safety-report-cards.md,Resident and Fellow Quality and Patient Safety Report Cards,"Simulation, Patient Safety, and Clinical Quality",Flagship case study,LSU HCSD; quality measures; HEDIS; national benchmarks; trainee evaluation,
77,Reviewer.md,peer-review-and-academic-evaluation.md,Peer Review and Academic Evaluation,"Recognition, Publications, and Professional Service",Evidence artifact,Manuscript review; abstract review; grant program evaluation; scholarly service,
78,Scholarly.md,comprehensive-scholarly-portfolio-source.md,Comprehensive Scholarly Portfolio Source,"Recognition, Publications, and Professional Service",Evidence artifact,Journal publications; curriculum; books; oral presentations; reviewer activity,
79,chlorinated chronicles - Copy.md,the-chlorinated-chronicles-duplicate-copy.md,Swimming Performance Intelligence: Sodium Bicarbonate and Applied Physiology,"Swimming Science, Sports Analytics, and International Thought Leadership",Applied sports science artifact,Companion source preserved as part of full evidence record,Related source: chlorinated chronicles.md
80,chlorinated chronicles.md,the-chlorinated-chronicles-swimming-science-thought-leadership.md,The Chlorinated Chronicles: Swimming Science Thought Leadership,"Swimming Science, Sports Analytics, and International Thought Leadership",Specialized external leadership artifact,Substack platform; SwimSwam citation; international swimming audience; think tank role,Related source: chlorinated chronicles - Copy.md
81,grants.md,grants-and-contracts-original-detailed-source.md,Grants and Contracts: Original Detailed Source,"Research Strategy, Grants, and Scholarly Productivity",Evidence artifact,WISEWOMAN; ADAPT-POL; STEPS; research support; funded projects,
82,nsf-epscor.md,nsf-epscor-crest-institutional-analytics-support.md,NSF EPSCoR CREST Institutional Analytics Support,"Research Strategy, Grants, and Scholarly Productivity",Flagship case study,NSF EPSCoR CREST; $7.5M award; institutional research analytics; Center for Adaptive Nanometer Development,
